i,Province_State,Confirmed,Deaths,FIPS,Mortality_Rate,Date
0,Alabama,20777,692,1,3.375609756,6/7/20
1,Alaska,543,10,2,1.841620626,6/7/20
2,Arizona,26989,1051,4,3.89417911,6/7/20
3,Arkansas,9426,154,5,1.633778909,6/7/20
4,California,130615,4632,6,3.546300195,6/7/20
5,Colorado,28001,1527,8,5.45610462,6/7/20
6,Connecticut,43968,4071,9,9.25900655,6/7/20
7,Delaware,9942,398,10,4.003218668,6/7/20
8,District of Columbia,9332,489,11,5.240034291,6/7/20
9,Florida,63938,2700,12,4.222840877,6/7/20
10,Georgia,51898,2180,13,4.200547227,6/7/20
11,Hawaii,675,17,15,2.518518519,6/7/20
12,Idaho,3139,83,16,2.644154189,6/7/20
13,Illinois,127757,5904,17,4.621273198,6/7/20
14,Indiana,37397,2303,18,6.158247988,6/7/20
15,Iowa,21712,605,19,2.786477524,6/7/20
16,Kansas,10406,233,20,2.239092831,6/7/20
17,Kentucky,11287,470,21,4.164082573,6/7/20
18,Louisiana,42816,2936,22,6.857249626,6/7/20
19,Maine,2570,99,23,3.852140078,6/7/20
20,Maryland,57973,2749,24,4.741862591,6/7/20
21,Massachusetts,103436,7316,25,7.072972659,6/7/20
22,Michigan,64648,5898,26,9.151879279,6/7/20
23,Minnesota,27886,1197,27,4.292476512,6/7/20
24,Mississippi,17270,817,28,4.73074696,6/7/20
25,Missouri,15023,815,29,5.425014977,6/7/20
26,Montana,545,18,30,3.302752294,6/7/20
27,Nebraska,15664,187,31,1.193820225,6/7/20
28,Nevada,9669,438,32,4.529941049,6/7/20
29,New Hampshire,5043,286,33,5.671227444,6/7/20
30,New Jersey,164164,12176,34,7.416973271,6/7/20
31,New Mexico,8940,396,35,4.429530201,6/7/20
32,New York,378097,30374,36,8.033388258,6/7/20
33,North Carolina,35625,1032,37,2.896842105,6/7/20
34,North Dakota,2861,72,38,2.516602587,6/7/20
35,Ohio,38476,2379,39,6.183075164,6/7/20
36,Oklahoma,7150,348,40,4.867132867,6/7/20
37,Oregon,4662,163,41,3.496353496,6/7/20
38,Pennsylvania,79908,5943,42,7.437302898,6/7/20
39,Rhode Island,15441,772,44,4.999676187,6/7/20
40,South Carolina,14286,546,45,3.821923562,6/7/20
41,South Dakota,5438,65,46,1.195292387,6/7/20
42,Tennessee,26493,418,47,1.577775261,6/7/20
43,Texas,75401,1844,48,2.441385529,6/7/20
44,Utah,12066,121,49,1.002817835,6/7/20
45,Vermont,1063,55,50,5.174035748,6/7/20
46,Virginia,50681,1472,51,2.957669494,6/7/20
47,Washington,23729,1157,53,4.875890261,6/7/20
48,West Virginia,2144,84,54,3.917910448,6/7/20
49,Wisconsin,20835,647,55,3.105351572,6/7/20
50,Wyoming,947,17,56,1.795142555,6/7/20
51,Alabama,20355,689,1,3.43760914,6/6/20
52,Alaska,535,10,2,1.869158879,6/6/20
53,Arizona,25451,1043,4,4.098070803,6/6/20
54,Arkansas,9101,154,5,1.692121745,6/6/20
55,California,128593,4607,6,3.581843491,6/6/20
56,Colorado,27848,1527,8,5.486096141,6/6/20
57,Connecticut,43818,4055,9,9.254187777,6/6/20
58,Delaware,9845,390,10,3.961401727,6/6/20
59,District of Columbia,9269,483,11,5.210918114,6/6/20
60,Florida,62758,2688,12,4.283119284,6/6/20
61,Georgia,51359,2178,13,4.240736774,6/6/20
62,Hawaii,673,17,15,2.526002972,6/6/20
63,Idaho,3139,83,16,2.644154189,6/6/20
64,Illinois,126890,5864,17,4.621325558,6/6/20
65,Indiana,36997,2292,18,6.1950969,6/6/20
66,Iowa,21478,599,19,2.78890027,6/6/20
67,Kansas,10361,233,20,2.248817682,6/6/20
68,Kentucky,11287,470,21,4.164082573,6/6/20
69,Louisiana,42486,2925,22,6.884620816,6/6/20
70,Maine,2524,98,23,3.882725832,6/6/20
71,Maryland,57482,2740,24,4.766709579,6/6/20
72,Massachusetts,103132,7289,25,7.067641469,6/6/20
73,Michigan,64229,5894,26,9.590773174,6/6/20
74,Minnesota,27501,1181,27,4.294389295,6/6/20
75,Mississippi,17039,811,28,4.759668995,6/6/20
76,Missouri,14951,815,29,5.451140392,6/6/20
77,Montana,540,18,30,3.333333333,6/6/20
78,Nebraska,15572,187,31,1.200873362,6/6/20
79,Nevada,9491,437,32,4.604362027,6/6/20
80,New Hampshire,5019,283,33,5.638573421,6/6/20
81,New Jersey,163893,12106,34,7.386526575,6/6/20
82,New Mexico,8800,392,35,4.454545455,6/6/20
83,New York,377316,30280,36,8.025103627,6/6/20
84,North Carolina,34718,1028,37,2.961000058,6/6/20
85,North Dakota,2816,72,38,2.556818182,6/6/20
86,Ohio,38111,2372,39,6.223924851,6/6/20
87,Oklahoma,7059,347,40,4.915710441,6/6/20
88,Oregon,4570,161,41,3.52297593,6/6/20
89,Pennsylvania,79505,5931,42,7.459908182,6/6/20
90,Rhode Island,15441,772,44,4.999676187,6/6/20
91,South Carolina,13453,539,45,4.006541292,6/6/20
92,South Dakota,5367,65,46,1.2111049,6/6/20
93,Tennessee,26177,417,47,1.59300149,6/6/20
94,Texas,74487,1836,48,2.46139385,6/6/20
95,Utah,11798,121,49,1.025597559,6/6/20
96,Vermont,1046,55,50,5.258126195,6/6/20
