Country,Date,"Cumulative no. of confirmed, probable and suspected cases","Cumulative no. of confirmed, probable and suspected deaths"
Nigeria,8/29/14,19,7
Sierra Leone,8/29/14,1026,422
Guinea,8/29/14,648,430
Liberia,8/29/14,1378,694
Senegal,9/5/14,1,0
Nigeria,9/5/14,22,8
Sierra Leone,9/5/14,1261,491
Guinea,9/5/14,812,517
Liberia,9/5/14,1871,1089
Senegal,9/8/14,3,0
Nigeria,9/8/14,21,8
Sierra Leone,9/8/14,1361,509
Guinea,9/8/14,862,555
Liberia,9/8/14,2046,1224
Senegal,9/12/14,3,0
Nigeria,9/12/14,21,8
Sierra Leone,9/12/14,1424,524
Guinea,9/12/14,861,557
Liberia,9/12/14,2081,1137
Senegal,9/16/14,1,0
Nigeria,9/16/14,21,8
Sierra Leone,9/16/14,1620,562
Guinea,9/16/14,936,595
Liberia,9/16/14,2407,1296
Senegal,9/18/14,1,0
Nigeria,9/18/14,21,8
Sierra Leone,9/18/14,1673,562
Guinea,9/18/14,942,601
Liberia,9/18/14,2710,1459
Senegal,9/22/14,1,0
Nigeria,9/22/14,20,8
Sierra Leone,9/22/14,1813,593
Guinea,9/22/14,1008,632
Liberia,9/22/14,3022,1578
Senegal,9/24/14,1,0
Nigeria,9/24/14,20,8
Sierra Leone,9/24/14,1940,597
Guinea,9/24/14,1022,635
Liberia,9/24/14,3280,1677
Senegal,9/26/14,1,0
Nigeria,9/26/14,20,8
Sierra Leone,9/26/14,2021,605
Guinea,9/26/14,1074,648
Liberia,9/26/14,3458,1830
Senegal,10/1/14,1,0
Nigeria,10/1/14,20,8
Sierra Leone,10/1/14,2304,622
Guinea,10/1/14,1157,710
Liberia,10/1/14,3696,1998
United States of America,10/3/14,1,0
Senegal,10/3/14,1,0
Nigeria,10/3/14,20,8
Sierra Leone,10/3/14,2437,623
Guinea,10/3/14,1199,739
Liberia,10/3/14,3834,2069
United States of America,10/8/14,1,0
Senegal,10/8/14,1,0
Nigeria,10/8/14,20,8
Guinea,10/8/14,1298,768
Sierra Leone,10/8/14,2789,879
Liberia,10/8/14,3924,2210
United States of America,10/10/14,1,0
Senegal,10/10/14,1,0
Spain,10/10/14,1,0
Nigeria,10/10/14,20,8
Guinea,10/10/14,1350,778
Sierra Leone,10/10/14,2950,930
Liberia,10/10/14,4076,2316
Senegal,10/15/14,1,0
Spain,10/15/14,1,0
United States of America,10/15/14,2,1
Nigeria,10/15/14,20,8
Guinea,10/15/14,1472,843
Sierra Leone,10/15/14,3252,1183
Liberia,10/15/14,4249,2458
Spain,10/17/14,1,0
Senegal,10/17/14,1,0
United States of America,10/17/14,3,1
Nigeria,10/17/14,20,8
Guinea,10/17/14,1519,862
Sierra Leone,10/17/14,3410,1200
Liberia,10/17/14,4262,2484
Spain,10/22/14,1,0
Senegal,10/22/14,1,0
United States of America,10/22/14,3,1
Nigeria,10/22/14,20,8
Guinea,10/22/14,1540,904
Sierra Leone,10/22/14,3706,1259
Liberia,10/22/14,4665,2705
Spain,10/25/14,1,0
Senegal,10/25/14,1,0
Mali,10/25/14,1,1
United States of America,10/25/14,4,1
Nigeria,10/25/14,20,8
Guinea,10/25/14,1553,926
Sierra Leone,10/25/14,3896,1281
Liberia,10/25/14,4665,2705
Senegal,10/29/14,1,0
Spain,10/29/14,1,0
Mali,10/29/14,1,1
United States of America,10/29/14,4,1
Nigeria,10/29/14,20,8
Guinea,10/29/14,1906,997
Sierra Leone,10/29/14,5235,1500
Liberia,10/29/14,6535,2413
Spain,10/31/14,1,0
Senegal,10/31/14,1,0
Mali,10/31/14,1,1
United States of America,10/31/14,4,1
Nigeria,10/31/14,20,8
Guinea,10/31/14,1667,1018
Sierra Leone,10/31/14,5338,1510
Liberia,10/31/14,6535,2413
Spain,11/5/14,1,0
Senegal,11/5/14,1,0
Mali,11/5/14,1,1
United States of America,11/5/14,4,1
Nigeria,11/5/14,20,8
Guinea,11/5/14,1731,1041
Sierra Leone,11/5/14,4759,1070
Liberia,11/5/14,6525,2697
Senegal,11/7/14,1,0
Spain,11/7/14,1,0
Mali,11/7/14,1,1
United States of America,11/7/14,4,1
